"sitename" "WHC"
"AR-SLu" 192.384275648329
"AR-TF1" NA
"AT-Neu" 183.102181328668
"AU-ASM" 195.176213582357
"AU-Cow" NA
"AU-Cpr" 153.496893988715
"AU-Ctr" NA
"AU-Cum" 198.487738715278
"AU-DaP" 191.852798461914
"AU-DaS" 191.852798461914
"AU-Dry" 185.656234741211
"AU-Emr" 151.684505886502
"AU-GWW" 192.325393676758
"AU-Gin" 207.980712890625
"AU-How" 160.772677951389
"AU-Lit" 168.884063720703
"AU-Otw" 195.50341796875
"AU-Rig" 182.315368652344
"AU-Rob" 199.309017605252
"AU-Sam" 178.273376464844
"AU-Stp" 159.57753499349
"AU-TTE" 195.840896606445
"AU-Tum" 177.682571411133
"AU-Whr" 187.601418389214
"AU-Wrr" 192.393124050564
"AU-Ync" 195.969755384657
"BE-Bra" 226.663146972656
"BE-Dor" 193.503616333008
"BE-Lcr" 205.686599731445
"BE-Lon" 193.503616333008
"BE-Maa" 210.016192966037
"BE-Vie" 183.564071655273
"BR-CST" 174.999552408854
"BR-Npw" 202.556854248047
"BR-Sa3" 116.22078704834
"BW-Ma1" 188.481884426541
"CA-ARB" 1074.46691894531
"CA-ARF" 1074.46691894531
"CA-Ca1" 213.457641601562
"CA-Ca2" 206.413689507378
"CA-Cbo" 209.098861694336
"CA-DB2" 218.539367675781
"CA-DBB" 218.539367675781
"CA-ER1" 175.495356241862
"CA-Gro" 213.457641601562
"CA-LP1" 207.857057359484
"CA-MA1" 181.943532307943
"CA-MA2" 181.943532307943
"CA-MA3" 173.537368774414
"CA-NS1" 899.331665039062
"CA-NS2" 899.331665039062
"CA-NS3" 899.331665039062
"CA-NS4" 899.331665039062
"CA-NS5" 899.331665039062
"CA-NS6" 899.331665039062
"CA-NS7" 823.123440212674
"CA-Qcu" 213.457641601562
"CA-Qfo" 195.871597290039
"CA-SF1" 817.261425442166
"CA-SF2" 162.790952894423
"CA-SF3" 163.052383422852
"CA-TP1" 200.381301879883
"CA-TP3" NA
"CA-TPD" 200.381301879883
"CH-Aws" 164.74631245931
"CH-Cha" 183.606450398763
"CH-Dav" 174.899037679036
"CH-Fru" 186.537355211046
"CH-Lae" 183.744533962674
"CH-Oe1" 175.122723049588
"CH-Oe2" 175.122723049588
"CN-Cha" 187.814112345378
"CN-Cng" 191.732137044271
"CN-Dan" 176.211739434136
"CN-Din" 144.660319858127
"CN-Du2" 196.492528279622
"CN-HaM" 169.862269083659
"CN-Qia" 186.541442871094
"CZ-BK1" 190.357798258464
"CZ-KrP" 183.564071655273
"CZ-Lnz" 202.052366468641
"CZ-RAJ" 187.013181898329
"CZ-Stn" 149.960138956706
"CZ-wet" 275.953318277995
"DE-Akm" 522.276511298286
"DE-Bay" 270.433929443359
"DE-Geb" 197.160898844401
"DE-Gri" 187.111367119683
"DE-Hai" 185.014890882704
"DE-HoH" 189.320890638563
"DE-Hte" NA
"DE-Hzd" 187.111367119683
"DE-Kli" 184.855111016168
"DE-Meh" 167.34090508355
"DE-Obe" 183.65739440918
"DE-RuR" 183.564071655273
"DE-RuS" 193.714803059896
"DE-RuW" 183.564071655273
"DE-Seh" 193.714803059896
"DE-SfN" 524.934582180447
"DE-Tha" 188.262422349718
"DE-Wet" 188.715098063151
"DK-Fou" 207.179977416992
"DK-Gds" 207.179977416992
"DK-Lva" 196.868103027344
"DK-Ris" 191.388151380751
"DK-Sor" 191.596854315864
"DK-ZaH" NA
"ES-Abr" 170.945434570312
"ES-Agu" 180.656768798828
"ES-Cnd" 177.111543443468
"ES-ES1" NA
"ES-ES2" NA
"ES-LJu" 185.332458496094
"ES-LM1" 196.276560465495
"ES-LM2" 196.276560465495
"ES-LMa" 191.579242282444
"ES-LgS" 183.307623969184
"ES-VDA" 172.988737318251
"FI-Hyy" 371.678719414605
"FI-Kaa" 207.179977416992
"FI-Ken" 865.174945407444
"FI-Let" 207.179977416992
"FI-Lom" 700.676203409831
"FI-Qvd" 164.260560777452
"FI-Sii" 371.678719414605
"FI-Sod" 700.676203409831
"FI-Var" 207.179977416992
"FR-Aur" 190.546110365126
"FR-Bil" 201.012432522244
"FR-EM2" 184.092931111654
"FR-FBn" 182.113282945421
"FR-Fon" 203.975387573242
"FR-Gri" 179.893317328559
"FR-Hes" 166.590216742622
"FR-LBr" 207.179977416992
"FR-LGt" 178.739188300239
"FR-Lam" 205.755837334527
"FR-Lq1" 251.212697347005
"FR-Lq2" 251.212697347005
"FR-Pue" 167.744488186306
"FR-Tou" 190.785997178819
"GF-Guy" NA
"GL-Dsk" NA
"HU-Bug" 197.789098103841
"ID-Pag" 208.670084635417
"IE-Ca1" 193.503616333008
"IE-Cra" 277.254313151042
"IE-Dri" 208.86442565918
"IL-Yat" 152.617370605469
"IT-Amp" 180.613015068902
"IT-BCi" 174.641708374023
"IT-BFt" 189.255625406901
"IT-CA1" 173.751680162218
"IT-CA2" 173.751680162218
"IT-CA3" 174.641708374023
"IT-Col" 180.052546183268
"IT-Cp2" NA
"IT-Cpz" 174.362330118815
"IT-Isp" 188.8009830051
"IT-LMa" 185.285380045573
"IT-Lav" 179.365843031141
"IT-Lsn" 185.080220540365
"IT-MBo" 179.061172485352
"IT-Mal" 185.774239434136
"IT-Noe" NA
"IT-Non" 174.641708374023
"IT-PT1" 179.987080891927
"IT-Ren" 185.746983846029
"IT-Ro1" 174.641708374023
"IT-Ro2" 209.174947102865
"IT-SR2" 173.092575073242
"IT-SRo" 173.092575073242
"IT-Tor" 175.776845296224
"JP-SMF" 141.545379638672
"NL-Ca1" 414.194997151693
"NL-Hor" 599.188490125868
"NL-Loo" 203.329984876845
"PE-QFR" 173.689064873589
"PL-wet" 204.950308905707
"PT-Esp" 207.179977416992
"PT-Mi1" 178.142805311415
"PT-Mi2" 177.456934611003
"RU-Che" 183.779608832465
"RU-Fy2" 291.28034125434
"RU-Fyo" 291.28034125434
"RU-Zot" 295.145872328016
"SD-Dem" 196.719345092773
"SE-Deg" 224.127136230469
"SE-Htm" 224.127136230469
"SE-Lnn" 183.564071655273
"SE-Nor" 192.764731513129
"SE-Ros" 224.127136230469
"SE-Svb" 224.127136230469
"UK-Gri" 215.969233194987
"UK-Ham" 185.011942545573
"UK-PL3" 165.92079671224
"US-A32" 199.500778198242
"US-A74" 199.500778198242
"US-ALQ" 213.457641601562
"US-AR1" 188.972229003906
"US-AR2" 188.972229003906
"US-ARM" 199.500778198242
"US-ARb" 199.500778198242
"US-ARc" 199.500778198242
"US-Aud" 144.946228027344
"US-BRG" 180.221508449978
"US-BZB" 202.9443359375
"US-BZF" 202.9443359375
"US-BZS" 202.9443359375
"US-BZo" 202.9443359375
"US-Bar" 213.457641601562
"US-Bi1" 678.332036336263
"US-Bi2" 439.034189860026
"US-Bkg" 199.500778198242
"US-Blo" 169.060424804688
"US-Bo1" 196.736541748047
"US-CF1" 195.680757310655
"US-CF2" 195.680757310655
"US-CF3" 196.736541748047
"US-CF4" 196.736541748047
"US-CRT" NA
"US-CS1" 167.893173217773
"US-CS2" 167.893173217773
"US-CS3" 167.893173217773
"US-CS4" 167.893173217773
"US-Cop" 123.672325134277
"US-DFC" 187.234481811523
"US-EDN" 179.352339002821
"US-EML" 179.858935885959
"US-FPe" 199.500778198242
"US-Fcr" 185.025619506836
"US-Fmf" 199.500778198242
"US-Fuf" 199.500778198242
"US-GLE" 168.251578436957
"US-Goo" 173.014099121094
"US-HB1" NA
"US-HWB" 177.788341946072
"US-Ha1" 212.936660766602
"US-Hn2" 196.82357957628
"US-Hn3" 196.82357957628
"US-Ho1" 213.457641601562
"US-Ho2" 213.457641601562
"US-ICh" 173.263107299805
"US-ICs" 173.263107299805
"US-ICt" 173.263107299805
"US-Jo1" 144.946228027344
"US-Jo2" 144.946228027344
"US-KFS" 196.736541748047
"US-KLS" 217.282012939453
"US-KS2" NA
"US-Los" 213.457641601562
"US-MMS" 183.026697794596
"US-MOz" 186.892062717014
"US-Me1" 157.471664428711
"US-Me2" 157.471664428711
"US-Me3" 157.471664428711
"US-Me4" 157.471664428711
"US-Me6" 157.471664428711
"US-Mpj" 144.946228027344
"US-Myb" 191.361272176107
"US-NC1" 176.998107910156
"US-NC4" 753.045043945312
"US-NGB" NA
"US-NGC" 202.9443359375
"US-NR1" 163.052383422852
"US-Ne1" 196.736541748047
"US-Ne2" 196.736541748047
"US-Ne3" 196.736541748047
"US-ONA" 219.184280395508
"US-ORv" 187.234481811523
"US-OWC" NA
"US-PFa" 207.595626831055
"US-Prr" 185.025619506836
"US-Rms" 197.965091281467
"US-Ro1" 201.832550048828
"US-Ro4" 201.832550048828
"US-Ro5" 201.832550048828
"US-Ro6" 201.832550048828
"US-Rwe" 197.965091281467
"US-Rwf" 190.768257141113
"US-Rws" 174.224627176921
"US-SP1" 183.786209106445
"US-SP2" 183.786209106445
"US-SP3" 183.786209106445
"US-SRC" 144.946228027344
"US-SRG" 144.946228027344
"US-SRM" 144.946228027344
"US-Seg" 144.946228027344
"US-Ses" 144.946228027344
"US-Sne" 191.361272176107
"US-Snf" 191.361272176107
"US-Syv" 213.457641601562
"US-Ton" 174.611129760742
"US-Tw1" 199.736343383789
"US-Tw2" 199.736343383789
"US-Tw3" 199.736343383789
"US-Tw4" 199.736343383789
"US-Tw5" 199.736343383789
"US-Twt" 199.736343383789
"US-UM3" 213.457641601562
"US-UMB" 213.457641601562
"US-UMd" 213.457641601562
"US-Var" 174.611129760742
"US-WCr" 213.457641601562
"US-Whs" 144.946228027344
"US-Wjs" 148.057652791341
"US-Wkg" 144.946228027344
"US-xAE" 199.500778198242
"US-xBR" 213.457641601562
"US-xCL" 171.872146606445
"US-xCP" 199.500778198242
"US-xDC" 198.329452514648
"US-xDL" 198.128234863281
"US-xDS" 189.536885579427
"US-xGR" 169.060424804688
"US-xHA" 212.936660766602
"US-xHE" 176.561021592882
"US-xJE" 188.726867675781
"US-xKA" 217.282012939453
"US-xKZ" 217.282012939453
"US-xMB" 123.672325134277
"US-xML" 181.759857177734
"US-xNG" 172.94905090332
"US-xNQ" 172.94905090332
"US-xRM" 163.052383422852
"US-xSB" 187.079981486003
"US-xSE" NA
"US-xSR" 144.946228027344
"US-xST" 213.457641601562
"US-xTA" 169.060424804688
"US-xTR" 213.457641601562
"US-xUK" 196.736541748047
"US-xUN" 213.457641601562
"US-xYE" 163.052383422852
"ZA-Kru" 147.029739379883
"ZM-Mon" 213.969772338867
